Company,Type,Series,URL,B2B vs B2C,Location
Micheli Lift Consult GmbH,325d,INV494,,,
Shapemaker,4800a,INV538,,,
The Gang,4800a,INV416,,,
Scalable CFO,4800a,INV409,,,
Your Speech Factory,325d,INV490,,,
Stealth Fintech,325d,INV491,,,
Angelize,501c,INV596,,,
Vinetribe,501c,INV478,,,
Buoy,501c,INV530,,,
Cap Grandes Ecoles,501c,INV434,,,
Tailwarden,4800a,INV556,,,
Lumera,501c,INV555,,,
Bowld,4800a,INV440,,,
Datapalooza,4800a,INV482,,,
Oda,4800a,INV584,,,
Swiss Luxury Agency,501c,INV435,,,
Requesty,501c,INV437,,,
Anker,501c,INV508,,,
JUST,4800a,INV531,,,
Blue Summit Education,501c,INV587,,,
Fair&Smart,325d,INV489,,,
Clextral,4800a,INV409,,,
The Real Estate Investment Academy (REIA),501c,INV444,,,
L.E.K. Consulting,501c,INV586,,,
Entrepreneur First,501c,INV596,,,
Gynger,501c,INV420,,,
SANTAFOO,325d,INV544,,,
Water2,325d,INV529,,,
Hargrave Succession Partners,501c,INV474,,,
Volteras,325d,INV412,,,
TrinityHawk,501c,INV444,,,
Sana,325d,INV523,,,
English Connection,4800a,INV556,,,
Lamisscoach®️,4800a,INV434,,,
Zing Cover,501c,INV506,,,
Orbitti Oy,4800a,INV414,,,
hypesetters,4800a,INV595,,,
OÜA,4800a,INV579,,,
Code Anyway (Techstars '23),4800a,INV451,,,
Altruistiq,325d,INV580,,,
Suplient,501c,INV581,,,
RangePlus Fulfilment,4800a,INV556,,,
Outlier Ventures,4800a,INV473,,,
Gaea,4800a,INV435,,,
TECHKARE,4800a,INV561,,,
Bright Star Studios,325d,INV576,,,
Culinu,4800a,INV476,,,
YIELD STUDIO,4800a,INV525,,,
GlucoFit GmbH,4800a,INV517,,,
Equinoxe,501c,INV512,,,
CERPRO GmbH,4800a,INV559,,,
Ungana,325d,INV555,,,
novaio consultants,4800a,INV424,,,
Elyn,501c,INV482,,,
Connecting Humans,4800a,INV505,,,
Dattak,501c,INV580,,,
Tailwind Biotech,501c,INV531,,,
THIS Labs,325d,INV413,,,
Hubflo,325d,INV412,,,
TapeNology,325d,INV519,,,
vektIQ,501c,INV520,,,
Neon4Business,501c,INV541,,,
Rools,501c,INV540,,,
Elements Talent Consultancy,325d,INV430,,,
StockRx,501c,INV588,,,
Emètis RH,501c,INV559,,,
TravelTail,325d,INV400,,,
DaxMedia ApS,501c,INV489,,,
Maison Cuilleret,501c,INV464,,,
Stratosphere,325d,INV402,,,
Mozart AI,325d,INV407,,,
YourTutors,325d,INV513,,,
BCause,4800a,INV461,,,
Re:Co,325d,INV580,,,
FuzeQube Group,501c,INV418,,,
DeltaFact ApS,501c,INV539,,,
MAIKERS INSTITUTE,501c,INV483,,,
dotflow,325d,INV577,,,
VR2all,325d,INV409,,,
Entracte,501c,INV446,,,
Core Padel,325d,INV473,,,
EY,325d,INV558,,,
Women Empowering Defence,4800a,INV416,,,
Kabn Company,4800a,INV407,,,
Akari Trading,501c,INV520,,,
Quick,501c,INV475,,,
Squrio Games,501c,INV525,,,
Sphaira Innovation,501c,INV486,,,
CAURUS Technologies,325d,INV581,,,
University of Leicester,325d,INV439,,,
Wakaru,4800a,INV508,,,
Letio,4800a,INV473,,,
Plaace,325d,INV428,,,
DRAUP,325d,INV451,,,
Bridgewise,4800a,INV457,,,
B. CAPITOL PARTNERS,501c,INV441,,,
Qriptal,325d,INV459,,,
AppThreat,4800a,INV475,,,
Rebrew,325d,INV539,,,
WeCare ET,501c,INV419,,,
Woodpecker.co,325d,INV544,,,
Kintsukuroi Wellbeing,501c,INV486,,,
Incubateur Manufactory - Centre d'Entrepreneuriat Lyon Saint-Etienne,4800a,INV536,,,
Eagle Solutions,325d,INV445,,,
Valused,501c,INV411,,,
COMÉTE,4800a,INV484,,,
Zukunftsarchitekten & Du,4800a,INV446,,,
Dermae,4800a,INV459,,,
Retactic,4800a,INV409,,,
Quantum Gnomes,4800a,INV557,,,
Nullure,4800a,INV433,,,
Trezo,501c,INV460,,,
