Company,Type,Series,URL,B2B vs B2C,Location
Orbitti Oy,4800a,INV563,,,
L'Étincelle,501c,INV600,,,
DeQuantifi,4800a,INV503,,,
Glaz Enr,325d,INV431,,,
MyFetch,325d,INV542,,,
Aventus Network,325d,INV546,,,
Golden Bonsai GmbH,501c,INV403,,,
Statement,325d,INV424,,,
Surfboard,325d,INV447,,,
Avoyes,501c,INV485,,,
TeeGo,4800a,INV523,,,
JAKALA,501c,INV441,,,
Gousto,325d,INV452,,,
muchbetter,325d,INV445,,,
Greenscope,4800a,INV586,,,
Cobrief,4800a,INV425,,,
University of St.Gallen,325d,INV578,,,
Koodipöllö,501c,INV587,,,
TinkerIT,4800a,INV425,,,
Airwallet,501c,INV466,,,
Jadwa Investment,501c,INV516,,,
Tangent,4800a,INV529,,,
Heptalytics,4800a,INV412,,,
akirolabs,4800a,INV523,,,
Cambridge Artificial Intelligence Studios,501c,INV595,,,
Loomis,501c,INV462,,,
Prisma Advisory,325d,INV553,,,
YOUR BEET,4800a,INV422,,,
Infusee,325d,INV453,,,
art for our sea,4800a,INV558,,,
Cardboard,325d,INV486,,,
Tjommi,325d,INV407,,,
Ember Paw Games,4800a,INV502,,,
Bonx,501c,INV515,,,
Entrepreneur First,4800a,INV439,,,
Beavr ,325d,INV531,,,
Business Bodhi,4800a,INV492,,,
Byteso,325d,INV567,,,
Coiniverse,4800a,INV416,,,
Maayan payments,4800a,INV501,,,
Mansart Homes,4800a,INV460,,,
Lavender Ventures,4800a,INV436,,,
Convention des Entreprises pour le Climat,4800a,INV585,,,
Alan,501c,INV513,,,
Surfy°,4800a,INV484,,,
dema.ai,325d,INV453,,,
Entrepreneur First,325d,INV530,,,
Domelior,325d,INV571,,,
Granyt,501c,INV552,,,
Children's Investment Fund Foundation (CIFF),501c,INV538,,,
Flatpay,4800a,INV528,,,
FairCare GmbH,325d,INV548,,,
Promaps Technology AS,501c,INV407,,,
Dynemia,501c,INV440,,,
FractalMind AI,4800a,INV420,,,
Antler,4800a,INV588,,,
MAIKERS INSTITUTE,4800a,INV545,,,
Malt,4800a,INV450,,,
Caerus Accountancy Recruitment,501c,INV411,,,
Stealth Startup,4800a,INV531,,,
Cession Makers,4800a,INV597,,,
ACRE,501c,INV474,,,
Sēve,501c,INV586,,,
ICBRG,325d,INV405,,,
Royal Academy of Engineering,4800a,INV446,,,
MyEpi,325d,INV545,,,
Thread Innovation,501c,INV552,,,
