Company,Type,Series,URL,B2B vs B2C,Location,Status,Assignee
Vispeek,325d,INV5240,,,,Incorrect Series,
Cobrief,681t,TIC448,,,,Incorrect Type,
Simployer Norge,4800a,TIC442,,,,Incorrect Series,
Maprova,685s,INV555,,,,Incorrect Type,
1080 Coaching,681t,TIC552,,,,Incorrect Type,
Serverpod,4800a,TIC520,,,,Incorrect Series,
Align Studio,685s,INV4340,,,,Incorrect Type,
webscout.io,685s,INV546,,,,Incorrect Type,
Aava AI,685s,TIC577,,,,Incorrect Type,
Hyphen,685s,TIC403,,,,Incorrect Type,
Surge,4800a,TIC458,,,,Incorrect Series,
Limited Resell,501c,INV4090,,,,Incorrect Series,
Pledger,4800a,TIC492,,,,Incorrect Series,
Standish,4800a,,,,,Incorrect Series,
MS² technologies,501c,TIC559,,,,Incorrect Series,
Fluent Academy,685s,TIC5240,,,,Incorrect Type,
Miage Environnement,685s,INV593,,,,Incorrect Type,
Veeton,681t,INV500,,,,Incorrect Type,
Bombini,681t,TIC469,,,,Incorrect Type,
Women in Big Data,681t,INV574,,,,Incorrect Type,
AP-HP,681t,INV589,,,,Incorrect Type,
MBA Ventures,325d,INV4510,,,,Incorrect Series,
Agorize,501c,INV5800,,,,Incorrect Series,
Data Shepherd FR,325d,TIC419,,,,Incorrect Series,
Maki People,501c,TIC503,,,,Incorrect Series,
JOGA,4800a,INV5540,,,,Incorrect Series,
KANO Consulting,325d,TIC4770,,,,Incorrect Series,
AIRMO,685s,TIC497,,,,Incorrect Type,
Pharma Service AG,325d,INV5300,,,,Incorrect Series,
RADIX,4800a,TIC455,,,,Incorrect Series,
Milia Gin,685s,INV559,,,,Incorrect Type,
Findistra Management AB,4800a,TIC552,,,,Incorrect Series,
Aglide,4800a,INV4430,,,,Incorrect Series,
Smashing Plates,685s,TIC439,,,,Incorrect Type,
Five Fields,501c,TIC551,,,,Incorrect Series,
Meta Frontier Capital,681t,TIC487,,,,Incorrect Type,
Brompton Industries,325d,INV5140,,,,Incorrect Series,
Full Cycle Analytics,4800a,TIC544,,,,Incorrect Series,
Huscle Inc.,501c,INV5550,,,,Incorrect Series,
FinTech Growth Fund,4800a,TIC511,,,,Incorrect Series,
ASAO DS,501c,TIC411,,,,Incorrect Series,
Workwell PCS,685s,INV509,,,,Incorrect Type,
Benton Creative,4800a,INV5150,,,,Incorrect Series,
Klyk,4800a,TIC537,,,,Incorrect Series,
Golden Acorn Financial Planning,4800a,INV5640,,,,Incorrect Series,
OvernightSite,325d,TIC463,,,,Incorrect Series,
All Markets,685s,TIC589,,,,Incorrect Type,
Qarik Group,325d,TIC464,,,,Incorrect Series,
Lambdaflow,685s,INV525,,,,Incorrect Type,
Checkout.com,4800a,TIC480,,,,Incorrect Series,
Riple,681t,INV407,,,,Incorrect Type,
Orbitti Oy,4800a,INV563,,,,Assigned,John Smith
Bit & Dat,501c,INV420,,,,Assigned,Mabel Lee
Micheli Lift Consult GmbH,325d,INV494,,,,Assigned,Jan Novák
Cence,501c,INV475,,,,Assigned,Navn Navnesen
H*LD Self-Storage,501c,INV542,,,,Assigned,Zhang San
L'Étincelle,501c,INV600,,,,Assigned,John Smith
Smart2nd,501c,INV552,,,,Assigned,Mabel Lee
Shapemaker,4800a,INV538,,,,Assigned,Jan Novák
DCO2,501c,INV552,,,,Assigned,Navn Navnesen
Necense,4800a,INV569,,,,Assigned,Zhang San
DeQuantifi,4800a,INV503,,,,Assigned,John Smith
Leasi,501c,INV449,,,,Assigned,Mabel Lee
The Gang,4800a,INV416,,,,Assigned,Jan Novák
branchly,4800a,INV517,,,,Assigned,Navn Navnesen
MCD Capital,4800a,INV445,,,,Assigned,Zhang San
Glaz Enr,325d,INV431,,,,Assigned,John Smith
Nyota,501c,INV489,,,,Assigned,Mabel Lee
Scalable CFO,4800a,INV409,,,,Assigned,Jan Novák
Ascend Ventures,501c,INV526,,,,Assigned,Navn Navnesen
Prolong,325d,INV594,,,,Assigned,Zhang San
MyFetch,325d,INV542,,,,Assigned,John Smith
Quarterback,4800a,INV596,,,,Assigned,Mabel Lee
Your Speech Factory,325d,INV490,,,,Assigned,Jan Novák
CaseSnappy,4800a,INV520,,,,Assigned,Navn Navnesen
NS2L & ASSOCIES,325d,INV585,,,,Assigned,Zhang San
Aventus Network,325d,INV546,,,,Assigned,John Smith
fuse,325d,INV478,,,,Assigned,Mabel Lee
Stealth Fintech,325d,INV491,,,,Assigned,Jan Novák
Stackly,325d,INV459,,,,Assigned,Navn Navnesen
On The Mend,501c,INV587,,,,Assigned,Zhang San
Golden Bonsai GmbH,501c,INV403,,,,Assigned,John Smith
McKinsey & Company,501c,INV416,,,,Assigned,Mabel Lee
Angelize,501c,INV596,,,,Assigned,Jan Novák
Market Shriek,325d,INV508,,,,Assigned,Navn Navnesen
Sauce Soft,4800a,INV447,,,,Assigned,Zhang San
Statement,325d,INV424,,,,Assigned,John Smith
Winedrops,501c,INV445,,,,Assigned,Mabel Lee
Vinetribe,501c,INV478,,,,Assigned,Jan Novák
Oral Prépa,4800a,INV476,,,,Assigned,Navn Navnesen
Techstars,4800a,INV484,,,,Assigned,Zhang San
Surfboard,325d,INV447,,,,Assigned,John Smith
Claret Capital Partners,4800a,INV509,,,,Assigned,Mabel Lee
Buoy,501c,INV530,,,,Assigned,Jan Novák
STATION F,501c,INV511,,,,Assigned,Navn Navnesen
Gridicity,4800a,INV457,,,,Assigned,Zhang San
Avoyes,501c,INV485,,,,Assigned,John Smith
Skyra.no,325d,INV500,,,,Assigned,Mabel Lee
Cap Grandes Ecoles,501c,INV434,,,,Assigned,Jan Novák
Pharmaweed Pro,501c,INV599,,,,Assigned,Navn Navnesen
Exercio,501c,INV562,,,,Assigned,Zhang San
TeeGo,4800a,INV523,,,,Assigned,John Smith
ECEMA,501c,INV487,,,,Assigned,Mabel Lee
Tailwarden,4800a,INV556,,,,Assigned,Jan Novák
Otium Capital,501c,INV459,,,,Assigned,Navn Navnesen
Enablment,4800a,INV460,,,,Assigned,Zhang San
JAKALA,501c,INV441,,,,Assigned,John Smith
Fractile,4800a,INV470,,,,Assigned,Mabel Lee
Lumera,501c,INV555,,,,Assigned,Jan Novák
Coaching Ultra,325d,INV439,,,,Assigned,Navn Navnesen
RIB Software,325d,INV469,,,,Assigned,Zhang San
Gousto,325d,INV452,,,,Assigned,John Smith
Salssy,501c,INV579,,,,Assigned,Mabel Lee
Bowld,4800a,INV440,,,,Assigned,Jan Novák
EchoTrade,325d,INV496,,,,Assigned,Navn Navnesen
Ballistic Pork,4800a,INV428,,,,Assigned,Zhang San
muchbetter,325d,INV445,,,,Assigned,John Smith
Primo,501c,INV458,,,,Assigned,Mabel Lee
Datapalooza,4800a,INV482,,,,Assigned,Jan Novák
Avolta Partners,4800a,INV558,,,,Assigned,Navn Navnesen
Norlab.ai,325d,INV543,,,,Assigned,Zhang San
Greenscope,4800a,INV586,,,,Assigned,John Smith
Degura GmbH,325d,INV497,,,,Assigned,Mabel Lee
Oda,4800a,INV584,,,,Assigned,Jan Novák
kokpits,501c,INV446,,,,Assigned,Navn Navnesen
CourtierTech.com ,325d,INV523,,,,Assigned,Zhang San
Cobrief,4800a,INV425,,,,Assigned,John Smith
TastyUrban,325d,INV527,,,,Assigned,Mabel Lee
Swiss Luxury Agency,501c,INV435,,,,Assigned,Jan Novák
London Ethno-Tech Collective,501c,INV454,,,,Assigned,Navn Navnesen
Decentralized Fund,4800a,INV573,,,,Assigned,Zhang San
University of St.Gallen,325d,INV578,,,,Assigned,John Smith
Hektar,325d,INV470,,,,Assigned,Mabel Lee
Requesty,501c,INV437,,,,Assigned,Jan Novák
historian,325d,INV599,,,,Assigned,Navn Navnesen
Phagos,501c,INV404,,,,Assigned,Zhang San
Koodipöllö,501c,INV587,,,,Assigned,John Smith
