Company,Type,Series,URL,B2B vs B2C,Location
Cence,501c,INV475,,,
DCO2,501c,INV552,,,
branchly,4800a,INV517,,,
Ascend Ventures,501c,INV526,,,
CaseSnappy,4800a,INV520,,,
Stackly,325d,INV459,,,
Market Shriek,325d,INV508,,,
Oral Prépa,4800a,INV476,,,
STATION F,501c,INV511,,,
Pharmaweed Pro,501c,INV599,,,
Otium Capital,501c,INV459,,,
Coaching Ultra,325d,INV439,,,
EchoTrade,325d,INV496,,,
Avolta Partners,4800a,INV558,,,
kokpits,501c,INV446,,,
London Ethno-Tech Collective,501c,INV454,,,
historian,325d,INV599,,,
Ballistic Pork,501c,INV534,,,
Oma Care,325d,INV502,,,
Position Green,325d,INV560,,,
DeltaFact ApS,501c,INV432,,,
New Change FX,4800a,INV586,,,
Soupir,325d,INV579,,,
CSKeisari,325d,INV418,,,
Notion Capital,501c,INV502,,,
AIU Academy,4800a,INV534,,,
Lagom,501c,INV572,,,
Tracebit,325d,INV459,,,
Somnology,501c,INV480,,,
Voicify AI,325d,INV409,,,
Pitod,4800a,INV437,,,
Zaptec,4800a,INV520,,,
GlobalComix,501c,INV401,,,
AAWE,4800a,INV457,,,
Ted's Health,325d,INV522,,,
Matricis.ai,325d,INV584,,,
SyOps Limited,501c,INV563,,,
My Intelligent Health Ltd,4800a,INV563,,,
Applai,325d,INV500,,,
The Spark,501c,INV469,,,
Riviera Radio,501c,INV445,,,
Talent Seed,325d,INV578,,,
Cerbos,325d,INV554,,,
Lazazu,4800a,INV415,,,
Datapay,4800a,INV437,,,
Mr. Quick Cocktails,325d,INV442,,,
Morg&Co,501c,INV507,,,
ESPÉ,4800a,INV479,,,
World Economic Forum,4800a,INV429,,,
Boards on Fire,501c,INV505,,,
Nasutech,501c,INV475,,,
BeyondMath,4800a,INV426,,,
Microsoft,501c,INV414,,,
Adiuvo Energy,4800a,INV551,,,
Kyros agency,325d,INV470,,,
Get Influence - Viral TikTok UGC,501c,INV405,,,
LADAPT,325d,INV479,,,
Honest Food Talks,4800a,INV506,,,
zinehub,325d,INV525,,,
Ceviant Finance ,501c,INV554,,,
Teshome Alliance,501c,INV420,,,
Bonne table,4800a,INV471,,,
Aliya Capital,4800a,INV483,,,
Inflow Partnership,501c,INV474,,,
Warwickshire Walking Tours,325d,INV431,,,
Founders Running Club,4800a,INV484,,,
Nordic Impact Lab,4800a,INV505,,,
Structuraize,4800a,INV551,,,
The Trailblazer,4800a,INV537,,,
Forloop.ai,325d,INV420,,,
Invicta Pharma Investments,4800a,INV546,,,
COMA.SITE,4800a,INV468,,,
Prisma Advisory,4800a,INV482,,,
Hanki.app,501c,INV563,,,
Leja Technologies,4800a,INV484,,,
Kobble,501c,INV565,,,
ESG Stream,325d,INV457,,,
TreQ,325d,INV590,,,
TiM - Talent in Motion,4800a,INV521,,,
RemedyBytes,501c,INV524,,,
Femcare,325d,INV567,,,
Orus Energy,501c,INV520,,,
T-Therapeutics Ltd,501c,INV536,,,
Juicebox,4800a,INV406,,,
WILLA,501c,INV543,,,
RE.avecvous,325d,INV475,,,
spektr (still in stealth),501c,INV591,,,
HypeData,501c,INV442,,,
Xquire,501c,INV420,,,
JULIENNE BRUNO®,501c,INV594,,,
AdScribe,501c,INV506,,,
spektr (still in stealth),501c,INV584,,,
CAVE Conference,325d,INV440,,,
ALTEN,501c,INV523,,,
eterlast,325d,INV597,,,
Red Rover Interactive,501c,INV424,,,
Upside.gg,4800a,INV461,,,
Skya,501c,INV511,,,
Tarleton Communications,4800a,INV527,,,
Verdn (YC W22),325d,INV475,,,
Evercontent,4800a,INV460,,,
Sistren,501c,INV478,,,
VVS Impact,4800a,INV417,,,
Umain,501c,INV470,,,
All Baby,4800a,INV559,,,
Andragogy,4800a,INV415,,,
Biner.ai,501c,INV452,,,
McKinsey & Company,4800a,INV449,,,
Akacia,325d,INV565,,,
House of Emirates,501c,INV501,,,
Sunlight.io,4800a,INV574,,,
engraph,325d,INV460,,,
Boxio.ai,501c,INV481,,,
LinkApp - Linking people together,4800a,INV413,,,
D Agency,4800a,INV478,,,
Gumbo,501c,INV499,,,
Pluto (Mon Courtier Digital SAS),325d,INV572,,,
Womco,4800a,INV407,,,
Arctic Animal Oy,501c,INV505,,,
Exponential View,4800a,INV484,,,
BSKManagement,501c,INV407,,,
Borrowed Soul Studio,4800a,INV561,,,
Monster Playable,4800a,INV494,,,
61N,501c,INV509,,,
Mozart AI,501c,INV591,,,
Pan Games,4800a,INV494,,,
collectivehood,4800a,INV402,,,
CXFacts,325d,INV477,,,
TXS Digital,4800a,INV553,,,
Stealth Startup,4800a,INV435,,,
Lucas Holm,4800a,INV424,,,
Kidigeek ,501c,INV540,,,
Logiadapt',501c,INV589,,,
Based in,501c,INV516,,,
MEANING AT WORK,501c,INV568,,,
CANAL+ Group,325d,INV582,,,
ETH Zürich,4800a,INV580,,,
About Tomorrow,4800a,INV598,,,
docTeller,501c,INV489,,,
Klark,4800a,INV522,,,
plusserver,4800a,INV563,,,
Tensoriel,4800a,INV445,,,
Reshot AI,325d,INV414,,,
Qurrent,501c,INV578,,,
FD Technologies,4800a,INV589,,,
Paraspara,501c,INV528,,,
Trazas,501c,INV491,,,
The Shirt Dandy,501c,INV502,,,
Review Collect,325d,INV410,,,
Domaine de Lignerolles,501c,INV449,,,
Heverton Partners,325d,INV499,,,
Orb,325d,INV429,,,
