Company,Type,Series,URL,B2B vs B2C,Location
H*LD Self-Storage,501c,INV542,,,
Necense,4800a,INV569,,,
MCD Capital,4800a,INV445,,,
Prolong,325d,INV594,,,
NS2L & ASSOCIES,325d,INV585,,,
On The Mend,501c,INV587,,,
Sauce Soft,4800a,INV447,,,
Techstars,4800a,INV484,,,
Gridicity,4800a,INV457,,,
Exercio,501c,INV562,,,
Enablment,4800a,INV460,,,
RIB Software,325d,INV469,,,
Ballistic Pork,4800a,INV428,,,
Norlab.ai,325d,INV543,,,
CourtierTech.com ,325d,INV523,,,
Decentralized Fund,4800a,INV573,,,
Phagos,501c,INV404,,,
Pennine Capital,325d,INV515,,,
Infor,325d,INV402,,,
AISFOR_____,4800a,INV524,,,
Entrepreneur First,325d,INV552,,,
Entrepreneur First,325d,INV406,,,
NCC Group,325d,INV429,,,
Compass Labs,501c,INV512,,,
TrendMover,501c,INV537,,,
EnsiliTech,4800a,INV484,,,
Ednia,501c,INV556,,,
Ericsson,4800a,INV472,,,
Intergrid,501c,INV564,,,
Norma BI,501c,INV550,,,
Pistachio,501c,INV467,,,
Huscle,325d,INV527,,,
Fipto,325d,INV529,,,
Green Legacy,325d,INV419,,,
coordi,501c,INV486,,,
Projet Sens,501c,INV417,,,
impactify,501c,INV599,,,
Impact Imagery,325d,INV450,,,
THE AIGENCY,4800a,INV475,,,
Trustle,501c,INV417,,,
Frameworks AS,4800a,INV491,,,
OrthographIQ,4800a,INV564,,,
Juvetti,4800a,INV449,,,
Coursensu,4800a,INV567,,,
Mosaic,501c,INV589,,,
BetterContact,4800a,INV538,,,
Motomic,501c,INV491,,,
Envar Entertainment,4800a,INV555,,,
Bloomberg LP,325d,INV432,,,
PwC UK,501c,INV459,,,
HashblockResearch,4800a,INV422,,,
Groupe BPCE,501c,INV590,,,
eComID,325d,INV436,,,
Skill & Reach,4800a,INV571,,,
Inova IT,4800a,INV445,,,
SpiritMe,325d,INV506,,,
Fact&Fiction Marketing,325d,INV401,,,
Tilt,4800a,INV505,,,
Les Ateliers digitaux Eazannadje,501c,INV486,,,
Residenture,501c,INV558,,,
Humus Tourism Consultancy & Development,501c,INV509,,,
Save the Children International,325d,INV578,,,
BONI,325d,INV470,,,
Electryone AI,325d,INV461,,,
Mile End Institute,501c,INV482,,,
Ledgy,325d,INV482,,,
Neostratup,501c,INV497,,,
Studio Lior,501c,INV575,,,
LinkedIn,501c,INV541,,,
Bright Blu Dot,501c,INV547,,,
Vouch,4800a,INV474,,,
UMANO,325d,INV600,,,
ZINC,4800a,INV412,,,
AudioStrip,4800a,INV547,,,
Rentopia,501c,INV498,,,
Bain & Company,501c,INV481,,,
Resolve Sec,501c,INV508,,,
DolceVia,501c,INV586,,,
Carpoll,325d,INV513,,,
Studio Fugu,501c,INV569,,,
kalm*,4800a,INV453,,,
Beam,4800a,INV571,,,
J2-Reliance Ltd,501c,INV565,,,
Contorion,325d,INV446,,,
The Reg3 Conference,4800a,INV449,,,
Beautiful Places AI,325d,INV408,,,
NEOM,501c,INV437,,,
Feast ,4800a,INV546,,,
PaxPays,501c,INV587,,,
Sensible,501c,INV556,,,
Netlight,325d,INV458,,,
Datayoyo,325d,INV593,,,
Azonto,501c,INV544,,,
Oxford Founders Society,325d,INV568,,,
Diabolo,4800a,INV434,,,
Composo.ai,501c,INV464,,,
Restart Career GmbH,325d,INV420,,,
Spheres,4800a,INV453,,,
Backstop Solutions Group,501c,INV552,,,
Heartpace,4800a,INV463,,,
